state,area,company,industry,facility_type,source_name,source_url,careers_url,last_verified_at,verification_status,is_verified,is_active
Rajasthan,Bhiwadi Industrial Area,JSW Steel,Steel,,User-supplied company example,,https://www.jsw.in/careers/,,unverified,0,0
Rajasthan,Bhiwadi Industrial Area,Adani,Infrastructure,,User-supplied company example,,https://careers.adani.com/,,unverified,0,0
Rajasthan,Bhiwadi Industrial Area,Indian Oil,Oil & Gas,,User-supplied company example,,,,unverified,0,0
Gujarat,Sanand Industrial Area,Maxxis Rubber,Automotive,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Graziano Trasmissioni,Automotive Components,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Valeo India,Automotive Components,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Nestle India,FMCG,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Emcure Pharmaceuticals,Pharmaceuticals,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,JBM Auto System,Automotive Components,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Unicharm India,Consumer Products,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,https://www.unicharm.co.in/en/recruit.html,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,India Japan Lighting,Automotive Lighting,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Mitsuba Sical,Automotive Components,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Uflex Limited,Packaging,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,https://www.uflexltd.com/current-openings.php,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Voltbek Home,Consumer Appliances,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Inductotherm,Industrial Equipment,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Baosteel India,Steel,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Bosch Limited,Automotive,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Marico Limited,FMCG,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,https://marico.com/india/careers/work-with-us,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Alstom Bharat Forge,Engineering,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Secure Meters,Electrical Equipment,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Mitsubishi Electric,Electrical Equipment,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Hindustan Coca-Cola,Beverages,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Oji India Packaging,Packaging,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Nivea India,Consumer Products,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Visteon Automotive Systems,Automotive Electronics,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Colgate-Palmolive,FMCG,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Viega India,Industrial Equipment,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,POSCO India,Steel,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Gujarat,Sanand Industrial Area,Marini India,Industrial Equipment,Manufacturing plant,Government industrial estate/SEZ record,https://www.gidc.gujarat.gov.in/pdf/June%202022%20GIDC%20Sanand%20Industrial%20Estate.pdf,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,WS Industries Limited,Electrical Equipment,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Uniparts India Limited,Automotive Components,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Pokarna Limited,Engineered Stone,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Southern Online Biotechnologies,Biofuels,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Confidence Petroleum India,Petroleum & Biofuels,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Anjaney Alloys,Ferro Alloys,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Abhijeet Ferrotech,Ferro Alloys,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Vasanth Chemicals,Chemicals,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Net Matrix,Chemicals,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Sundaram Alloys,Ferro Alloys,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Posh Chemicals,Chemicals,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Avra Laboratories,Pharmaceuticals,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Kaizen Power,Power Generation,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Glochem Industries,Chemicals,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Natsol Laboratories,Pharmaceuticals,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,SPS Symergy Solar,Solar Manufacturing,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
Andhra Pradesh,Visakhapatnam Industrial Cluster,Amit Weigh Bridge,Logistics Services,SEZ unit,Government industrial estate/SEZ record,https://apiic.in/list-of-allotments/,,2026-09-13,government_source,1,1
